,pdb,fn,index,rank,pLin_F9_DD_LRD
0,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/7S7A_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index0/rank1.pdb,0,1,5.5592892880067
1,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/7S7A_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index0/rank2.pdb,0,2,5.999156580917499
2,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/7S7A_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index0/rank3.pdb,0,3,5.9632954699831995
3,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/7S7A_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index0/rank4.pdb,0,4,5.965710177742399
4,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/7S7A_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index0/rank5.pdb,0,5,5.8714679204696
5,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/7S7A_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index0/rank6.pdb,0,6,5.9652016344556
6,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/7S7A_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index0/rank7.pdb,0,7,5.5578343079031
7,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/7S7A_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index0/rank8.pdb,0,8,5.5584670163771
8,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/7S7A_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index0/rank9.pdb,0,9,5.9614396669342
9,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/7S7A_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index0/rank10.pdb,0,10,5.856293435340199
10,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/8FOW_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index1/rank1.pdb,1,1,6.671973131631
11,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/8FOW_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index1/rank2.pdb,1,2,6.651082947681299
12,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/8FOW_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index1/rank3.pdb,1,3,6.6647227003394
13,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/8FOW_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index1/rank4.pdb,1,4,6.6741206289832
14,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/8FOW_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index1/rank5.pdb,1,5,6.666456091242299
15,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/8FOW_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index1/rank6.pdb,1,6,6.6381189153508
16,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/8FOW_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index1/rank7.pdb,1,7,6.651917461258999
17,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/8FOW_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index1/rank8.pdb,1,8,6.673991219342499
18,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/8FOW_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index1/rank9.pdb,1,9,6.6649150654268
19,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/8FOW_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index1/rank10.pdb,1,10,6.665274614889899
20,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/7S9X_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index2/rank1.pdb,2,1,6.0303225710175
21,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/7S9X_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index2/rank2.pdb,2,2,6.0093897199545
22,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/7S9X_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index2/rank3.pdb,2,3,6.030135105643299
23,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/7S9X_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index2/rank4.pdb,2,4,6.0236065678748
24,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/7S9X_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index2/rank5.pdb,2,5,6.0070841335026
25,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/7S9X_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index2/rank6.pdb,2,6,6.019392022353599
26,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/7S9X_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index2/rank7.pdb,2,7,6.0179076586406
27,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/7S9X_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index2/rank8.pdb,2,8,6.022603476290399
28,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/7S9X_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index2/rank9.pdb,2,9,6.4794916026935
29,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/7S9X_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index2/rank10.pdb,2,10,6.520525593173599
30,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/7RXO_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index3/rank1.pdb,3,1,5.872346502126501
31,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/7RXO_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index3/rank2.pdb,3,2,5.859586732091199
32,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/7RXO_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index3/rank3.pdb,3,3,5.855963966302
33,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/7RXO_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index3/rank4.pdb,3,4,5.8569656642554
34,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/7RXO_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index3/rank5.pdb,3,5,5.8473550895257
35,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/7RXO_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index3/rank6.pdb,3,6,5.8524957908652
36,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/7RXO_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index3/rank7.pdb,3,7,5.7666822798945
37,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/7RXO_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index3/rank8.pdb,3,8,5.855486897071099
38,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/7RXO_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index3/rank9.pdb,3,9,5.733724843158099
39,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/7RXO_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index3/rank10.pdb,3,10,5.8543306087652995
40,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/7S84_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index4/rank1.pdb,4,1,6.1772232929837
41,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/7S84_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index4/rank2.pdb,4,2,6.104759593408999
42,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/7S84_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index4/rank3.pdb,4,3,6.1731374456179005
43,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/7S84_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index4/rank4.pdb,4,4,6.132906494659601
44,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/7S84_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index4/rank5.pdb,4,5,5.9561779470796
45,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/7S84_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index4/rank6.pdb,4,6,6.1157845789104
46,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/7S84_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index4/rank7.pdb,4,7,6.157009533512
47,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/7S84_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index4/rank8.pdb,4,8,6.206953190347599
48,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/7S84_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index4/rank9.pdb,4,9,6.2145582713891
49,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/7S84_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index4/rank10.pdb,4,10,5.646708878021
50,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/7S85_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index5/rank1.pdb,5,1,6.058272918952801
51,/scratch/eac709/modeller/scripts_CDK2_231124/remodel_231124/CDK2_fastH_pdbqt/7S85_A_01.pdbqt,/scratch/eac709/diffdock/CDK2/231124_allo_crossdocking/docked_pub/DiffDock_LRD/self_cross_dock//index5/rank2.pdb,5,2,6.059603381794
