,protein_path,ligand,PDB_fn,PDB,PDB_chain,LIG,PDB_chain_LIG,ro_label,lo_label
0,docking_poses/receptor/CDK2_fastH_pdbqt/7S7A_A_01.pdbqt,OC(=O)c1cc(ccc1NCCc2[nH]nc3ccccc23)C(F)(F)F,7S7A_A_01,7S7A,7S7A_A,8FI,7S7A_A_8FI,1,1
1,docking_poses/receptor/CDK2_fastH_pdbqt/8FOW_A_01.pdbqt,OC(=O)c1cc(ccc1NCCc2[nH]nc3ccccc23)C(F)(F)F,8FOW_A_01,8FOW,8FOW_A,8FI,8FOW_A_8FI,1,1
2,docking_poses/receptor/CDK2_fastH_pdbqt/7S9X_A_01.pdbqt,OC(=O)c1cc(ccc1NCCc2[nH]nc3ccccc23)C(F)(F)F,7S9X_A_01,7S9X,7S9X_A,8FI,7S9X_A_8FI,1,1
3,docking_poses/receptor/CDK2_fastH_pdbqt/7RXO_A_01.pdbqt,OC(=O)c1cc(ccc1NCCc2[nH]nc3ccccc23)C(F)(F)F,7RXO_A_01,7RXO,7RXO_A,8FI,7RXO_A_8FI,1,1
4,docking_poses/receptor/CDK2_fastH_pdbqt/7S84_A_01.pdbqt,OC(=O)c1cc(ccc1NCCc2[nH]nc3ccccc23)C(F)(F)F,7S84_A_01,7S84,7S84_A,8FI,7S84_A_8FI,1,1
5,docking_poses/receptor/CDK2_fastH_pdbqt/7S85_A_01.pdbqt,OC(=O)c1cc(ccc1NCCc2[nH]nc3ccccc23)C(F)(F)F,7S85_A_01,7S85,7S85_A,8FI,7S85_A_8FI,1,1
6,docking_poses/receptor/CDK2_fastH_pdbqt/7S4T_A_01.pdbqt,OC(=O)c1cc(ccc1NCCc2[nH]nc3ccccc23)C(F)(F)F,7S4T_A_01,7S4T,7S4T_A,8FI,7S4T_A_8FI,1,1
7,docking_poses/receptor/CDK2_fastH_pdbqt/8FP0_A_01.pdbqt,OC(=O)c1cc(ccc1NCCc2[nH]nc3ccccc23)C(F)(F)F,8FP0_A_01,8FP0,8FP0_A,8FI,8FP0_A_8FI,1,1
8,docking_poses/receptor/CDK2_fastH_pdbqt/7RWF_A.pdbqt,OC(=O)c1cc(ccc1NCCc2[nH]nc3ccccc23)C(F)(F)F,7RWF_A,7RWF,7RWF_A,8FI,7RWF_A_8FI,1,1
9,docking_poses/receptor/CDK2_fastH_pdbqt/3PXF_A.pdbqt,OC(=O)c1cc(ccc1NCCc2[nH]nc3ccccc23)C(F)(F)F,3PXF_A,3PXF,3PXF_A,8FI,3PXF_A_8FI,3,1
10,docking_poses/receptor/CDK2_fastH_pdbqt/3PXQ_A_01.pdbqt,OC(=O)c1cc(ccc1NCCc2[nH]nc3ccccc23)C(F)(F)F,3PXQ_A_01,3PXQ,3PXQ_A,8FI,3PXQ_A_8FI,3,1
11,docking_poses/receptor/CDK2_fastH_pdbqt/4EZ7_A.pdbqt,OC(=O)c1cc(ccc1NCCc2[nH]nc3ccccc23)C(F)(F)F,4EZ7_A,4EZ7,4EZ7_A,8FI,4EZ7_A_8FI,3,1
12,docking_poses/receptor/CDK2_fastH_pdbqt/1JST_A.pdbqt,OC(=O)c1cc(ccc1NCCc2[nH]nc3ccccc23)C(F)(F)F,1JST_A,1JST,1JST_A,8FI,1JST_A_8FI,2,1
13,docking_poses/receptor/CDK2_fastH_pdbqt/7ACK_C_01.pdbqt,OC(=O)c1cc(ccc1NCCc2[nH]nc3ccccc23)C(F)(F)F,7ACK_C_01,7ACK,7ACK_C,8FI,7ACK_C_8FI,2,1
14,docking_poses/receptor/CDK2_fastH_pdbqt/3BHT_A_01.pdbqt,OC(=O)c1cc(ccc1NCCc2[nH]nc3ccccc23)C(F)(F)F,3BHT_A_01,3BHT,3BHT_A,8FI,3BHT_A_8FI,2,1
15,docking_poses/receptor/CDK2_fastH_pdbqt/2C5V_C_01.pdbqt,OC(=O)c1cc(ccc1NCCc2[nH]nc3ccccc23)C(F)(F)F,2C5V_C_01,2C5V,2C5V_C,8FI,2C5V_C_8FI,2,1
16,docking_poses/receptor/CDK2_fastH_pdbqt/4BCM_C_01.pdbqt,OC(=O)c1cc(ccc1NCCc2[nH]nc3ccccc23)C(F)(F)F,4BCM_C_01,4BCM,4BCM_C,8FI,4BCM_C_8FI,2,1
17,docking_poses/receptor/CDK2_fastH_pdbqt/7KJS_A_01.pdbqt,OC(=O)c1cc(ccc1NCCc2[nH]nc3ccccc23)C(F)(F)F,7KJS_A_01,7KJS,7KJS_A,8FI,7KJS_A_8FI,2,1
18,docking_poses/receptor/CDK2_fastH_pdbqt/3BHU_A_01.pdbqt,OC(=O)c1cc(ccc1NCCc2[nH]nc3ccccc23)C(F)(F)F,3BHU_A_01,3BHU,3BHU_A,8FI,3BHU_A_8FI,2,1
19,docking_poses/receptor/CDK2_fastH_pdbqt/4CFW_C_01.pdbqt,OC(=O)c1cc(ccc1NCCc2[nH]nc3ccccc23)C(F)(F)F,4CFW_C_01,4CFW,4CFW_C,8FI,4CFW_C_8FI,2,1
20,docking_poses/receptor/CDK2_fastH_pdbqt/1B38_A_01.pdbqt,OC(=O)c1cc(ccc1NCCc2[nH]nc3ccccc23)C(F)(F)F,1B38_A_01,1B38,1B38_A,8FI,1B38_A_8FI,1,1
21,docking_poses/receptor/CDK2_fastH_pdbqt/4FKG_A_01.pdbqt,OC(=O)c1cc(ccc1NCCc2[nH]nc3ccccc23)C(F)(F)F,4FKG_A_01,4FKG,4FKG_A,8FI,4FKG_A_8FI,1,1
22,docking_poses/receptor/CDK2_fastH_pdbqt/2R3R_A_01.pdbqt,OC(=O)c1cc(ccc1NCCc2[nH]nc3ccccc23)C(F)(F)F,2R3R_A_01,2R3R,2R3R_A,8FI,2R3R_A_8FI,1,1
23,docking_poses/receptor/CDK2_fastH_pdbqt/1GIH_A_01.pdbqt,OC(=O)c1cc(ccc1NCCc2[nH]nc3ccccc23)C(F)(F)F,1GIH_A_01,1GIH,1GIH_A,8FI,1GIH_A_8FI,1,1
24,docking_poses/receptor/CDK2_fastH_pdbqt/2BHE_A_01.pdbqt,OC(=O)c1cc(ccc1NCCc2[nH]nc3ccccc23)C(F)(F)F,2BHE_A_01,2BHE,2BHE_A,8FI,2BHE_A_8FI,1,1
25,docking_poses/receptor/CDK2_fastH_pdbqt/4FKI_A_01.pdbqt,OC(=O)c1cc(ccc1NCCc2[nH]nc3ccccc23)C(F)(F)F,4FKI_A_01,4FKI,4FKI_A,8FI,4FKI_A_8FI,1,1
26,docking_poses/receptor/CDK2_fastH_pdbqt/1GIJ_A_01.pdbqt,OC(=O)c1cc(ccc1NCCc2[nH]nc3ccccc23)C(F)(F)F,1GIJ_A_01,1GIJ,1GIJ_A,8FI,1GIJ_A_8FI,1,1
27,docking_poses/receptor/CDK2_fastH_pdbqt/2VTR_A_01.pdbqt,OC(=O)c1cc(ccc1NCCc2[nH]nc3ccccc23)C(F)(F)F,2VTR_A_01,2VTR,2VTR_A,8FI,2VTR_A_8FI,1,1
28,docking_poses/receptor/CDK2_fastH_pdbqt/7S7A_A_01.pdbqt,OC(=O)c1cc(ccc1NCCc2c[nH]c3ccccc23)[N+]([O-])=O,7S7A_A_01,7S7A,7S7A_A,7TW,7S7A_A_7TW,1,1
29,docking_poses/receptor/CDK2_fastH_pdbqt/8FOW_A_01.pdbqt,OC(=O)c1cc(ccc1NCCc2c[nH]c3ccccc23)[N+]([O-])=O,8FOW_A_01,8FOW,8FOW_A,7TW,8FOW_A_7TW,1,1
