ind,PDB_chain,LIG,ro_label,lo_label,pVina,conf_id,conf_rank
0,7S7A_A,8FI,1,1,8.2664323,1,1
0,7S7A_A,8FI,1,1,7.925359449999999,1,2
0,7S7A_A,8FI,1,1,6.4327073,1,3
0,7S7A_A,8FI,1,1,6.247867820000001,1,4
0,7S7A_A,8FI,1,1,6.24126641,1,5
0,7S7A_A,8FI,1,1,6.18918862,1,6
0,7S7A_A,8FI,1,1,6.157648549999999,1,7
0,7S7A_A,8FI,1,1,6.126841969999999,1,8
0,7S7A_A,8FI,1,1,8.35885204,2,1
0,7S7A_A,8FI,1,1,7.89675334,2,2
0,7S7A_A,8FI,1,1,6.5926081199999995,2,3
0,7S7A_A,8FI,1,1,6.39823327,2,4
0,7S7A_A,8FI,1,1,6.24493386,2,5
0,7S7A_A,8FI,1,1,6.1855211699999995,2,6
0,7S7A_A,8FI,1,1,6.162049489999999,2,7
0,7S7A_A,8FI,1,1,8.39185909,3,1
0,7S7A_A,8FI,1,1,6.7114335,3,2
0,7S7A_A,8FI,1,1,6.49065301,3,3
0,7S7A_A,8FI,1,1,6.256669699999999,3,4
0,7S7A_A,8FI,1,1,6.24713433,3,5
0,7S7A_A,8FI,1,1,6.24493386,3,6
0,7S7A_A,8FI,1,1,6.24346688,3,7
1,8FOW_A,8FI,1,1,8.16667766,1,1
1,8FOW_A,8FI,1,1,7.5630153899999994,1,2
1,8FOW_A,8FI,1,1,6.888938079999999,1,3
1,8FOW_A,8FI,1,1,6.88380365,1,4
1,8FOW_A,8FI,1,1,6.69749719,1,5
1,8FOW_A,8FI,1,1,6.63441705,1,6
1,8FOW_A,8FI,1,1,6.5867402,1,7
1,8FOW_A,8FI,1,1,6.40850213,1,8
1,8FOW_A,8FI,1,1,6.37256112,1,9
1,8FOW_A,8FI,1,1,8.24662807,2,1
1,8FOW_A,8FI,1,1,8.05078624,2,2
1,8FOW_A,8FI,1,1,7.6356309,2,3
1,8FOW_A,8FI,1,1,7.5850200899999995,2,4
1,8FOW_A,8FI,1,1,6.9806243299999995,2,5
1,8FOW_A,8FI,1,1,6.942482849999999,2,6
1,8FOW_A,8FI,1,1,6.92781305,2,7
1,8FOW_A,8FI,1,1,6.7261033,2,8
1,8FOW_A,8FI,1,1,6.574270869999999,2,9
1,8FOW_A,8FI,1,1,8.20261867,3,1
1,8FOW_A,8FI,1,1,8.052986709999999,3,2
1,8FOW_A,8FI,1,1,7.13245676,3,3
1,8FOW_A,8FI,1,1,6.99529413,3,4
1,8FOW_A,8FI,1,1,6.98135782,3,5
1,8FOW_A,8FI,1,1,6.58894067,3,6
1,8FOW_A,8FI,1,1,6.566202479999999,3,7
1,8FOW_A,8FI,1,1,6.56033456,3,8
2,7S9X_A,8FI,1,1,8.353717609999999,1,1
2,7S9X_A,8FI,1,1,8.031715499999999,1,2
2,7S9X_A,8FI,1,1,7.151527499999999,1,3
2,7S9X_A,8FI,1,1,6.484785089999999,1,4
2,7S9X_A,8FI,1,1,6.18918862,1,5
2,7S9X_A,8FI,1,1,8.23049129,2,1
2,7S9X_A,8FI,1,1,6.357157829999999,2,2
2,7S9X_A,8FI,1,1,6.06009438,2,3
2,7S9X_A,8FI,1,1,6.04249062,2,4
2,7S9X_A,8FI,1,1,6.041023640000001,2,5
2,7S9X_A,8FI,1,1,8.05151973,3,1
2,7S9X_A,8FI,1,1,6.2933442,3,2
2,7S9X_A,8FI,1,1,5.917797319999999,3,3
2,7S9X_A,8FI,1,1,5.892125169999999,3,4
2,7S9X_A,8FI,1,1,5.85985161,3,5
2,7S9X_A,8FI,1,1,5.85398369,3,6
3,7RXO_A,8FI,1,1,7.80800105,1,1
3,7RXO_A,8FI,1,1,7.42585276,1,2
3,7RXO_A,8FI,1,1,6.745174039999999,1,3
3,7RXO_A,8FI,1,1,6.687228330000001,1,4
3,7RXO_A,8FI,1,1,6.4019007199999995,1,5
3,7RXO_A,8FI,1,1,6.3857639399999995,1,6
3,7RXO_A,8FI,1,1,6.22806359,1,7
3,7RXO_A,8FI,1,1,6.22072869,1,8
3,7RXO_A,8FI,1,1,6.1833206999999994,1,9
3,7RXO_A,8FI,1,1,7.79113078,2,1
3,7RXO_A,8FI,1,1,7.32463114,2,2
3,7RXO_A,8FI,1,1,7.3128953,2,3
3,7RXO_A,8FI,1,1,6.73930612,2,4
3,7RXO_A,8FI,1,1,6.64101846,2,5
3,7RXO_A,8FI,1,1,6.352756889999999,2,6
3,7RXO_A,8FI,1,1,6.25520272,2,7
3,7RXO_A,8FI,1,1,6.2221956700000005,2,8
3,7RXO_A,8FI,1,1,6.2067923799999996,2,9
3,7RXO_A,8FI,1,1,8.08012584,3,1
3,7RXO_A,8FI,1,1,7.64956721,3,2
3,7RXO_A,8FI,1,1,7.00556299,3,3
3,7RXO_A,8FI,1,1,6.8581315,3,4
3,7RXO_A,8FI,1,1,6.78624948,3,5
3,7RXO_A,8FI,1,1,6.555200129999999,3,6
3,7RXO_A,8FI,1,1,6.500921869999999,3,7
3,7RXO_A,8FI,1,1,6.4693818,3,8
3,7RXO_A,8FI,1,1,6.3930988399999995,3,9
4,7S84_A,8FI,1,1,8.57743206,1,1
4,7S84_A,8FI,1,1,8.08746074,1,2
4,7S84_A,8FI,1,1,7.537343239999999,1,3
4,7S84_A,8FI,1,1,6.91827768,1,4
4,7S84_A,8FI,1,1,6.87793573,1,5
4,7S84_A,8FI,1,1,6.84639566,1,6
4,7S84_A,8FI,1,1,6.73050424,1,7
4,7S84_A,8FI,1,1,6.719501889999999,1,8
4,7S84_A,8FI,1,1,6.64101846,1,9
4,7S84_A,8FI,1,1,8.55029293,2,1
4,7S84_A,8FI,1,1,7.263017979999999,2,2
4,7S84_A,8FI,1,1,6.868400360000001,2,3
